pert_iname	moa	source
LOXO-101	trk inhibitor	https://www.selleckchem.com/products/larotrectinib.html
ZK811752	ccr1 antagonist	https://www.medchemexpress.com/BX471.html
ML-228	hif pathway activator	https://pmc.ncbi.nlm.nih.gov/articles/PMC3251333/
ML-193	gpr55 antagonist	https://www.ncbi.nlm.nih.gov/books/NBK66153/
GSK-37647	ffa4 (gpr120) agonist	https://www.tocris.com/products/gsk-137647_5257
ML-323	usp1-uaf1 inhibitor	https://pubmed.ncbi.nlm.nih.gov/24531842/
glutamine-(l)	amino acid | glutathione precursor	https://go.drugbank.com/drugs/DB00130
1-octanol	low-threshold calcium channel inhibitor	https://pmc.ncbi.nlm.nih.gov/articles/PMC4811161/
carzenide	carbonic anhydrase inhibitor	https://www.medchemexpress.com/Carzenide.html
cyclosporine	calcineurin inhibitor	https://www.ncbi.nlm.nih.gov/books/NBK482450/
TG-101348	jak2 inhibitor	https://www.medchemexpress.com/TG-101348.html
trometamol	buffering agent | proton acceptor	https://pubmed.ncbi.nlm.nih.gov/9506241/
L-Cystine	glutathione precursor | antioxidant	https://go.drugbank.com/drugs/DB00138
pidolic-acid	cholinergic modulator | nootropic agent	https://pubmed.ncbi.nlm.nih.gov/1976055/
